Unnamed: 0,Unnamed: 1,Unnamed: 2,2021-2022 ,Unnamed: 4,Unnamed: 5,Unnamed: 6,2022-2023,Unnamed: 8,Unnamed: 9
,,,June,1837.27,169.09,,January,1958.87,195.67
,,,May,1885.34,164.37,,December,1699.7,168.01
,,,April,2010.81,173.39,,November,1595.17,155.71
,,,March,1859.73,160.05,,October,1525.54,147.39
,,,February,1494.47,128.52,,September,1539.6,147.21
,,,January,1704.53,146.51,,August,2036.93,193.32
,,,December,1630.66,139.91,,July,2096.32,196.82
,,,November,1553.7,133.27,,,,
,,,October,1646.87,140.99,,,,
,,,September,1726.71,147.22,,,,
,,,August,1810.1,153.77,,,,
2020-2021 ,,,July,1871.49,158.71,,,,
June,"1940,81",164.61,,,,,,,
May,"2171,03",184.1,4,,,,,,
April,"2067,64",175.34,6,,,,,,
March,"1910,98",162.05,,,,,,,
February,"1780,59",151.0,,,,,,,
January,"1961,91",166.37,,,,,,,
December,"2050,65",173.9,,,,,,,
November,"2078,74",176.28,,,,,,,
October,"2102,16",178.27,,,,,,,
September,"2151,05",182.41,,,,,,,
August,"1963,94",166.62,,,,,,,
,#VALORE!,,,,,,,,
,",00000",,,,,,,,
